B2B Sales Region,Company Name,Fiscal Period,Created Date,Close Date,Age,Stage(SFDC),Probability (%),Forecast Category,Marketing Name,Product Description,Quantity,Total Price (Local),Total Price (converted USD),Product Number,Product Line,Life Cycle Status,Last Modified Date,Deal ID,Product Group Name,Company Segmentation,Company Designation,Account Category,Account Record Type,Account Type,FY,FQ
EAD,LocalBiz074 Solutions,2027-Q1,2023-04-08,2027-07-26,152,Pipeline,12,Commit,Tap Controller,Tap Controller - Business Edition,75,105358.82,105358.82,960-100002,Line-02,Active,2025-08-12,006909827741QAN,Webcams Group,SMB,Named,Territory,End Customer,Local Customer,2027,Q1
GEM,GlobalCorp002 Industries,2027-Q2,2023-10-16,2027-12-26,271,Closed Won,1,Closed,MX Master 3S,MX Master 3S - Business Edition,89,80912.21,80912.21,960-100005,Line-05,Active,2025-03-12,006161136438QAN,VC Services Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2027,Q2
NAM,LocalBiz035 Solutions,2025-Q3,2023-02-26,2025-09-07,265,Pipeline,62,Commit,MeetUp,MeetUp - Business Edition,132,373493.36,373493.36,960-100001,Line-01,Active,2025-12-07,006572432043QAN,PC Keyboards & Combos Group,Enterprise,,Named,End Customer,Local Customer,2025,Q3
NAM,GlobalCorp008 Industries,2025-Q1,2023-10-04,2026-02-08,310,Upside,72,Commit,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,2,2608.42,2608.42,960-100003,Line-03,Active,2025-02-10,006722028733QAN,Tablet Keyboards Education Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2025,Q1
GCN,GlobalCorp014 Industries,2026-Q2,2023-10-25,2026-12-25,252,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,82,134651.53,134651.53,960-100007,Line-07,Active,2025-09-15,006809816108QAN,Tablet Keyboards Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q2
GEM,LocalBiz060 Solutions,2026-Q2,2023-01-27,2026-08-24,261,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,81,174025.16,174025.16,960-100002,Line-02,EOM,2025-10-09,006808496411QAN,Webcams Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q2
NAM,LocalBiz044 Solutions,2024-Q3,2023-11-03,2024-07-24,227,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,99,177638.52,177638.52,960-100004,Line-04,Active,2025-03-01,006363183577QAN,Pointing Devices Group,SMB,Territory,Named,End Customer,Local Customer,2024,Q3
EAD,LocalBiz098 Solutions,2027-Q1,2023-04-04,2027-10-10,222,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,63,169627.66,169627.66,960-100002,Line-02,Active,2025-07-13,006271116174QAN,Webcams Group,SMB,,Named,End Customer,Local Customer,2027,Q1
EAD,GlobalCorp029 Industries,2025-Q2,2023-09-21,2025-11-19,134,Upside,37,Commit,MX Master 3S,MX Master 3S - Business Edition,28,78193.03,78193.03,960-100005,Line-05,LTS,2025-10-23,006727457371QAN,VC Services Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q2
GCN,LocalBiz074 Solutions,2024-Q3,2023-11-09,2024-09-20,318,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,3,211.53,211.53,960-100008,Line-08,Active,2025-03-10,006476304299QAN,Gaming PC Group,SMB,Named,Territory,End Customer,Local Customer,2024,Q3
NAM,LocalBiz050 Solutions,2026-Q2,2023-03-17,2026-01-26,101,Pipeline,65,Pipeline,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,12,9513.09,9513.09,960-100003,Line-03,Active,2025-02-02,006791648731QAN,Tablet Keyboards Education Group,Enterprise,Territory,Territory,End Customer,Local Customer,2026,Q2
GEM,LocalBiz058 Solutions,2024-Q3,2023-04-23,2024-02-21,203,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,160,268965.54,268965.54,960-100009,Line-09,Active,2025-01-06,006605874711QAN,Headsets Group,Enterprise,Named,Named,End Customer,Local Customer,2024,Q3
GCN,LocalBiz087 Solutions,2025-Q4,2023-11-04,2025-01-09,346,Closed Won,1,Closed,MX Master 3S,MX Master 3S - Business Edition,93,240140.74,240140.74,960-100005,Line-05,Active,2025-03-20,006723512415QAN,VC Services Group,SMB,Territory,Named,End Customer,Local Customer,2025,Q4
EAD,LocalBiz023 Solutions,2026-Q2,2023-02-23,2026-02-08,298,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,11,11617.6,11617.6,960-100000,Line-00,Active,2025-12-16,006388717145QAN,Video Collaboration Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q2
EAD,LocalBiz092 Solutions,2024-Q4,2023-09-03,2025-12-05,147,Need Assessment,57,Upside,MX Keys for Business,MX Keys for Business - Business Edition,160,306823.89,306823.89,960-100004,Line-04,LTS,2025-06-24,006691718048QAN,Pointing Devices Group,SMB,Named,Territory,End Customer,Local Customer,2024,Q4
NAM,LocalBiz087 Solutions,2026-Q2,2023-02-02,2027-04-03,310,Pipeline,44,Pipeline,Combo Touch,Combo Touch - Business Edition,99,289308.52,289308.52,960-100008,Line-08,Active,2025-01-04,006423839252QAN,Gaming PC Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q2
GEM,GlobalCorp020 Industries,2026-Q2,2023-06-23,2026-03-17,22,Pipeline,39,Commit,Rally Bar,Rally Bar - Business Edition,176,57435.94,57435.94,960-100000,Line-00,Phase out,2025-03-22,006770439175QAN,Video Collaboration Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q2
GCN,GlobalCorp027 Industries,2024-Q4,2023-03-04,2024-01-15,35,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,197,143622.17,143622.17,960-100000,Line-00,Active,2025-01-12,006918013403QAN,Video Collaboration Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2024,Q4
EAD,LocalBiz064 Solutions,2025-Q4,2023-03-01,2025-09-05,116,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,93,122122.32,122122.32,960-100007,Line-07,Active,2025-05-23,006179348896QAN,Tablet Keyboards Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q4
NAM,LocalBiz038 Solutions,2026-Q3,2023-06-23,2026-06-26,127,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,104,26803.67,26803.67,960-100002,Line-02,Active,2025-02-26,006523783527QAN,Webcams Group,SMB,Territory,Named,End Customer,Local Customer,2026,Q3
GCN,GlobalCorp009 Industries,2027-Q1,2023-12-26,2027-10-23,391,Pipeline,66,Pipeline,Slim Folio Pro,Slim Folio Pro - Business Edition,99,79775.24,79775.24,960-100009,Line-09,Active,2025-08-14,006296678031QAN,Headsets Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2027,Q1
NAM,LocalBiz047 Solutions,2027-Q2,2023-06-26,2027-07-22,58,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,153,77628.03,77628.03,960-100002,Line-02,Active,2025-04-10,006411817029QAN,Webcams Group,Enterprise,,Named,End Customer,Local Customer,2027,Q2
EAD,LocalBiz025 Solutions,2024-Q3,2023-04-15,2025-12-12,355,Commit,64,Pipeline,MX Keys for Business,MX Keys for Business - Business Edition,103,31082.83,31082.83,960-100004,Line-04,Phase out,2025-10-19,006294073232QAN,Pointing Devices Group,Enterprise,Named,Territory,End Customer,Local Customer,2024,Q3
EAD,LocalBiz034 Solutions,2026-Q1,2023-01-26,2026-10-21,122,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,127,267096.74,267096.74,960-100006,Line-06,Active,2025-02-22,006885403480QAN,VC Headsets Group,Enterprise,Territory,Territory,End Customer,Local Customer,2026,Q1
GEM,LocalBiz080 Solutions,2026-Q1,2023-05-22,2026-06-23,185,Pipeline,38,Commit,Tap Controller,Tap Controller - Business Edition,76,130705.54,130705.54,960-100002,Line-02,Active,2025-01-14,006974703859QAN,Webcams Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q1
NAM,LocalBiz047 Solutions,2026-Q4,2023-06-05,2026-07-04,100,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,101,123784.49,123784.49,960-100000,Line-00,Active,2025-10-26,006887852946QAN,Video Collaboration Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q4
GCN,LocalBiz067 Solutions,2025-Q2,2023-08-12,2026-07-02,178,Pipeline,44,Pipeline,Rally Bar,Rally Bar - Business Edition,128,246706.0,246706.0,960-100000,Line-00,Active,2025-03-11,006922335076QAN,Video Collaboration Group,Enterprise,Named,Territory,End Customer,Local Customer,2025,Q2
NAM,LocalBiz038 Solutions,2026-Q2,2023-08-26,2027-12-14,90,Upside,43,Upside,MeetUp,MeetUp - Business Edition,35,36499.22,36499.22,960-100001,Line-01,Active,2025-04-26,006944979700QAN,PC Keyboards & Combos Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q2
GCN,LocalBiz080 Solutions,2026-Q2,2023-03-17,2026-09-04,99,Pipeline,45,Commit,Slim Folio Pro,Slim Folio Pro - Business Edition,101,228695.67,228695.67,960-100009,Line-09,Active,2025-08-23,006876346813QAN,Headsets Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q2
GCN,LocalBiz008 Solutions,2026-Q1,2023-09-22,2026-03-09,397,Pipeline,68,Upside,Rally Bar,Rally Bar - Business Edition,113,174075.88,174075.88,960-100000,Line-00,Active,2025-12-09,006517226642QAN,Video Collaboration Group,SMB,Named,Territory,End Customer,Local Customer,2026,Q1
EAD,GlobalCorp009 Industries,2026-Q1,2023-03-12,2026-04-19,25,Upside,61,Upside,Slim Folio Pro,Slim Folio Pro - Business Edition,111,32821.48,32821.48,960-100009,Line-09,Active,2025-05-23,006234415503QAN,Headsets Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q1
GCN,LocalBiz010 Solutions,2026-Q4,2023-09-10,2027-10-05,253,Need Assessment,16,Commit,Tap Controller,Tap Controller - Business Edition,75,29651.08,29651.08,960-100002,Line-02,Active,2025-10-09,006408636593QAN,Webcams Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q4
GEM,LocalBiz093 Solutions,2025-Q3,2023-07-25,2025-08-16,301,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,86,210507.25,210507.25,960-100000,Line-00,Active,2025-06-19,006216595132QAN,Video Collaboration Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q3
GCN,LocalBiz025 Solutions,2026-Q4,2023-08-09,2026-03-13,1,Upside,12,Pipeline,MeetUp,MeetUp - Business Edition,126,27227.93,27227.93,960-100001,Line-01,Active,2025-09-17,006456015512QAN,PC Keyboards & Combos Group,Enterprise,,Territory,End Customer,Local Customer,2026,Q4
